Position Name,Date,Activity Name,Total Duration,Total Player Load,Player Load Per Minute,Maximum Velocity (mph),Max Acceleration,Total Distance (y),Total IMA (Average),IMA CoD Right Medium,IMA CoD Right High,IMA CoD Left Medium,IMA CoD Left High,Velocity B4+ Total # Efforts (Gen 2),Velocity B5+ Total # Efforts (Gen 2),Velocity B6+ Total # Efforts (Gen 2),IMA Accel Medium,IMA Accel High,IMA Decel Medium,IMA Decel High,HSR Velocity Band 4 Total Distance (y),VHSR Velocity Band 5 Total Distance (y),SPR Velocity Band 6 Total Distance (y)
Defender,11/16/2022,WSOC Training,1:25:30,599.08728,7.00576,15.7605,3.48955,5733.5256,10,13,2,15,0,67,8,3,10,5,9,3,746.58794,109.15354,53.3902
Defender,1/11/2023,2023 - 1-11 Training,1:12:00,435.00571,6.0412,14.53622,3.06576,4190.06715,10,14,2,3,1,0,0,0,15,6,7,1,10.6846,0,0
Defender,1/15/2023,Training,1:20:52,523.39298,6.47176,14.57459,3.882,4366.25514,10,24,2,15,1,39,6,0,10,6,9,1,369.55381,56.55074,4.51662
Defender,1/17/2023,WSOC Training,1:00:58,362.32885,5.94207,15.5685,4.09165,3401.16089,7,6,1,8,1,2,0,0,9,5,5,0,38.64829,0,0
Defender,1/19/2023,WSOC Training,1:05:03,435.23473,6.69046,16.23493,3.83928,4261.78612,10,17,1,12,2,6,0,0,14,4,9,3,101.44357,0,0
Defender,1/22/2023,Training,1:13:25,444.10781,6.04839,14.41104,3.24099,4531.79535,13,20,2,19,4,58,4,1,14,5,10,2,595.75678,59.13167,6.95538
Defender,1/23/2023,Conditioning,0:36:28,313.49057,8.59275,19.73661,4.32665,3118.40452,2,0,0,5,0,94,69,11,8,2,0,0,974.84687,661.90945,404.70255
Defender,1/29/2023,WSOC Training,1:21:40,553.08596,6.77216,17.38485,3.93512,5871.44701,17,16,5,17,3,104,17,5,9,5,17,4,1177.9746,169.46631,66.42607
Defender,1/30/2023,Conditioning,0:55:57,175.14255,3.13032,17.81341,3.8258,1554.68379,6,2,1,1,4,17,9,4,1,1,0,0,194.87095,116.02143,130.66492
Defender,1/31/2023,WSOC Training,1:13:14,447.2551,6.1068,15.01881,3.8183,4318.5614,14,21,5,18,3,73,10,1,20,3,1,3,716.38233,122.85652,8.42082
Defender,2/2/2023,WSOC Training,1:02:21,378.51622,6.07016,15.66822,4.0437,2924.01912,9,6,0,10,1,38,3,1,13,5,5,3,489.27165,29.62598,13.86702
Defender,2/6/2023,2023 - 2-6 Conditioning,0:49:04,414.31939,8.44269,16.93284,4.22389,4732.88866,2,0,0,0,0,35,28,18,10,2,0,0,760.68464,779.82284,495.57086
Defender,2/7/2023,WSOC Training,1:17:43,467.49009,6.01424,15.36122,4.60145,4620.93017,11,16,2,12,5,60,11,2,6,3,17,1,672.65967,133.23491,21.44576
Defender,2/8/2023,2023 - 2-8 Practice,1:16:37,375.42002,4.89997,18.48723,5.08308,4469.28115,8,12,2,4,0,68,15,6,6,3,8,3,962.90463,202.50437,189.34821
Defender,2/9/2023,WSOC Training,1:15:05,593.54475,7.90483,18.90234,4.97357,5706.53177,17,12,7,15,4,113,17,7,13,4,11,2,1222.45187,217.15879,123.75328
Defender,2/12/2023,Activity 20230212152508,4:55:20,655.10522,2.21819,16.25912,3.70033,7169.62413,20,16,5,23,4,82,7,2,16,6,15,5,803.13869,68.64611,79.19947
Defender,2/19/2023,2023 - 2-19 Training,1:15:12,485.39192,6.45435,16.21011,3.4765,4904.35333,10,12,4,20,0,53,0,0,11,5,14,1,724.77034,26.44357,2.74497
Defender,2/20/2023,2023 - 2-20 Training,1:17:22,597.08306,7.71661,19.03058,4.37705,4909.30194,16,16,7,7,4,108,33,8,8,3,12,2,1254.80097,312.54375,129.27603
Defender,2/21/2023,2023 - 2-21 Training,1:18:25,310.23504,3.95575,19.34056,4.65465,2946.63597,7,10,1,14,2,41,9,7,9,1,5,3,405.28215,59.95188,72.82371
Defender,2/24/2023,2023 - 2-24 Training,1:04:35,321.13289,4.97143,13.32219,3.60084,3373.89602,3,10,0,7,0,45,4,0,7,3,2,0,485.36745,45.98644,0
Defender,2/25/2023,Activity 20230225101600,2:25:15,447.83017,3.08318,0,0,0,9,3,0,7,2,0,0,0,10,4,3,3,0,0,0
Defender,2/27/2023,2023 - 2-27 Training WSOC,1:21:03,426.14072,6.45145,17.96078,4.95468,4232.99455,23,14,8,22,7,71,23,6,4,6,8,2,783.93481,173.74234,91.97288
Defender,2/28/2023,2023 - 2-28 Training,1:13:46,470.51926,6.37824,15.65323,4.21662,4984.23506,7,19,2,11,3,99,16,2,11,1,6,1,1037.95931,200.55774,34.06605
Defender,3/2/2023,2023 - 3-2 Training,1:16:20,646.37273,8.46595,19.05477,4.01298,7146.8858,10,18,3,14,1,140,30,6,13,4,11,2,1625.62334,289.27166,142.34471
